Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah,Vol.,Perubahan%,,Linear,Log,,Grafik Pergerakan Saham
7/8/2025,2930.00,2950,2990,2900,"114,48M","0,69%",,,,,
7/9/2025,2920.00,2940,2960,2880,"97,85M","-0,34%",,-0.003412969283,-0.001484768906,,
7/10/2025,2990.00,2960,3070,2940,"188,11M","2,40%",,0.02397260274,0.01028833688,,
7/11/2025,2990.00,3000,3020,2960,"97,43M","0,00%",,0,0,,
7/14/2025,3030.00,3030,3060,2960,"170,17M","1,34%",,0.01337792642,0.005771440178,,
7/15/2025,3000.00,3030,3030,2960,"77,79M","-0,99%",,-0.009900990099,-0.004321373783,,
7/16/2025,2990.00,2990,3010,2940,"126,82M","-0,33%",,-0.003333333333,-0.001450066395,,
7/17/2025,3010.00,3010,3070,2990,"149,62M","0,67%",,0.006688963211,0.002895307269,,
7/18/2025,2970.00,3020,3030,2940,"116,56M","-1,33%",,-0.01328903654,-0.005810046277,,
7/21/2025,3190.00,2990,3210,2950,"222,85M","7,41%",,0.07407407407,0.03103423374,,
7/22/2025,2960.00,3250,3270,2950,"426,09M","-7,21%",,-0.07210031348,-0.032498972,,
7/23/2025,3040.00,3010,3040,2870,"195,64M","2,70%",,0.02702702703,0.01158187255,,
7/24/2025,3030.00,3020,3070,2980,"97,76M","-0,33%",,-0.003289473684,-0.001430955106,,
7/25/2025,2970.00,3040,3040,2950,"61,09M","-1,98%",,-0.0198019802,-0.008686179185,,
7/28/2025,2970.00,2970,3030,2950,"85,13M","0,00%",,0,0,,
7/29/2025,3000.00,2970,3020,2970,"53,89M","1,01%",,0.0101010101,0.004364805402,,
7/30/2025,2990.00,3010,3050,2970,"58,85M","-0,33%",,-0.003333333333,-0.001450066395,,
7/31/2025,2850.00,2950,2970,2770,"235,21M","-4,68%",,-0.04682274247,-0.02082632832,,
8/1/2025,2880.00,2860,2920,2830,"102,02M","1,05%",,0.01052631579,0.004547627751,,
8/4/2025,2910.00,2920,2970,2890,"75,54M","1,04%",,0.01041666667,0.004500501227,,
8/5/2025,2940.00,2930,3050,2910,"151,09M","1,03%",,0.01030927835,0.004454341426,,Grafik Nilai Daily Return
8/6/2025,3080.00,2970,3100,2970,"192,18M","4,76%",,0.04761904762,0.02020338609,,
8/7/2025,3150.00,3100,3250,3070,"222,00M","2,27%",,0.02272727273,0.009759837289,,
8/8/2025,3090.00,3160,3170,3020,"102,08M","-1,90%",,-0.01904761905,-0.008352074365,,
8/11/2025,2940.00,3060,3070,2930,"141,89M","-4,85%",,-0.04854368932,-0.02161114901,,
8/12/2025,2900.00,2940,2950,2870,"111,65M","-1,36%",,-0.01360544218,-0.005949332513,,
8/13/2025,2910.00,2930,2960,2880,"112,93M","0,34%",,0.003448275862,0.001494991087,,
8/14/2025,2890.00,2920,2940,2890,"109,60M","-0,69%",,-0.006872852234,-0.002995146229,,
8/15/2025,2900.00,2900,2920,2860,"59,23M","0,35%",,0.003460207612,0.001500155142,,
8/19/2025,2810.00,2900,2910,2810,"111,57M","-3,10%",,-0.03103448276,-0.01369167799,,
8/20/2025,2840.00,2810,2840,2790,"67,29M","1,07%",,0.01067615658,0.004612020142,,
8/21/2025,2830.00,2860,2880,2810,"66,40M","-0,35%",,-0.003521126761,-0.001531904523,,
8/22/2025,2820.00,2840,2870,2820,"29,42M","-0,35%",,-0.003533568905,-0.001537327205,,
8/25/2025,2870.00,2850,2900,2840,"72,07M","1,77%",,0.01773049645,0.007632788415,,
8/26/2025,2880.00,2890,2920,2880,"84,36M","0,35%",,0.003484320557,0.001510591025,,
8/27/2025,2960.00,2920,2990,2890,"135,73M","2,78%",,0.02777777778,0.0118992233,,
